date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-01-28 17:00:00+00:00,61.0,28.796,23.396,25.962667,34.113037,27.801392,30.603304,0,0,44585.004,42052.645,9.5,9.5,0.0,11.0,13.849477,29.88,279.42365,19.67,3.857023
2010-01-29 17:00:00+00:00,63.0,27.846,23.446,25.21058,32.99399,27.712917,30.025713,0,0,44568.9,17482.566,13.3,13.3,0.0,20.0,13.246826,30.960001,293.97754,12.64,2.5064251
2010-01-30 17:00:00+00:00,55.0,27.896,23.546,25.645998,32.15116,28.602676,30.434952,0,0,44552.47,21192.533,8.7,8.7,0.0,21.0,13.237038,25.56,299.7013,11.93,2.5218222
2010-01-31 17:00:00+00:00,53.0,28.796,24.096,26.170998,33.62384,28.820522,31.034292,0,0,44535.73,25317.752,6.8999996,6.8999996,0.0,14.0,9.47012,21.96,260.20163,13.01,2.8011458
2010-02-01 17:00:00+00:00,61.0,30.346,23.646,26.775162,37.39655,27.982601,31.793951,0,0,44518.72,38881.48,3.4,3.4,0.0,4.0,13.556282,27.72,244.25415,22.18,4.5325737
2010-02-02 17:00:00+00:00,61.0,29.996,23.996,26.498085,37.03766,29.016232,31.973402,0,0,44501.445,40726.477,7.8999996,7.8999996,0.0,11.0,10.308831,21.599998,262.1848,20.89,4.235463
2010-02-03 17:00:00+00:00,63.0,29.646,23.696,26.068914,36.224186,28.554897,31.601175,0,0,44483.938,40341.83,15.1,15.1,0.0,13.0,11.304229,25.919998,202.16632,21.18,4.2172713
2010-02-04 17:00:00+00:00,63.0,28.546,24.096,25.70225,33.716087,29.397003,31.01333,0,0,44466.215,29688.447,11.4,11.4,0.0,14.0,11.659777,25.919998,298.22864,15.57,3.1122136
2010-02-05 17:00:00+00:00,61.0,27.996,23.846,26.04392,33.231266,28.15363,30.92314,0,0,44448.297,20037.85,6.2,6.2,0.0,11.0,8.905908,22.319998,253.03049,12.73,2.642816
2010-02-06 17:00:00+00:00,61.0,29.296,23.396,26.295998,36.107635,27.985355,31.807922,0,0,44430.207,38568.164,6.2999997,6.2999997,0.0,11.0,9.826088,23.039999,89.03713,21.72,4.307965
