datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1980-01-28 17:00:00+00:00,55.0,29.846,23.896,26.02517,33.284218,27.379263,29.228691,0,0,44596.49,36452.707,3.1,3.1,0.0,6.0,20.418695,41.039997,243.83447,18.8,4.0188174
1980-01-29 17:00:00+00:00,53.0,27.946,23.696,25.377245,30.726269,26.800932,28.37709,0,0,44580.438,17976.697,4.799999,4.799999,0.0,15.0,21.325253,42.12,241.66486,11.65,2.7163837
1980-01-30 17:00:00+00:00,61.0,28.246,23.746,25.471,32.584988,27.246887,28.956327,0,0,44564.082,29908.695,6.5,6.5,0.0,12.0,19.134262,42.12,263.593,16.65,3.350762
1980-01-31 17:00:00+00:00,63.0,28.696,23.446,25.38141,35.49436,27.330236,29.948471,0,0,44547.45,40894.62,11.499999,11.499999,0.0,14.0,12.24,36.0,288.57245,20.6,3.9710598
1980-02-01 17:00:00+00:00,53.0,28.796,22.946,25.448082,35.7386,27.728596,30.531084,0,0,44530.555,29853.248,3.9999998,3.9999998,0.0,13.0,10.00256,25.56,301.18982,17.27,3.392339
1980-02-02 17:00:00+00:00,53.0,28.896,23.946,26.07933,34.094177,28.129383,30.532072,0,0,44513.426,34413.742,1.8000001,1.8000001,0.0,7.0,13.891522,32.760002,281.914,17.97,3.6656122
1980-02-03 17:00:00+00:00,51.0,29.346,22.096,26.112665,34.269543,26.390944,30.688162,0,0,44496.08,38647.58,0.1,0.1,0.0,1.0,14.168641,27.72,296.56497,21.43,4.3582416
1980-02-04 17:00:00+00:00,51.0,29.346,23.746,26.402246,34.160465,28.13163,30.785355,0,0,44478.54,38138.48,0.6,0.6,0.0,2.0,16.75064,32.399998,277.94873,20.88,4.261749
1980-02-05 17:00:00+00:00,63.0,26.996,22.996,25.050169,30.906425,26.595577,29.099182,0,0,44460.82,39184.246,11.5,11.5,0.0,10.0,16.199999,34.56,288.6912,16.06,3.0847023
1980-02-06 17:00:00+00:00,61.0,29.296,23.046,25.825167,34.580627,26.900038,30.471138,0,0,44442.953,35896.035,4.1000004,4.1000004,0.0,9.0,15.546833,34.56,293.4824,22.09,4.328345
1980-02-07 17:00:00+00:00,61.0,28.446,22.996,25.437666,33.675587,27.025724,29.773619,0,0,44424.953,41925.3,7.0,7.0,0.0,15.0,16.323528,32.399998,287.08752,20.85,3.9709823
1980-02-08 17:00:00+00:00,63.0,26.546,22.896,24.308496,30.396694,26.77805,28.14908,0,0,44406.836,23152.156,27.3,27.3,0.0,23.0,16.831684,34.92,291.6112,13.72,2.6348681
1980-02-09 17:00:00+00:00,51.0,27.696,22.596,25.223082,31.725647,26.5257,29.117027,0,0,44388.617,41895.65,1.5000001,1.5000001,0.0,6.0,13.324863,31.319998,306.43097,20.06,3.9526832
1980-02-10 17:00:00+00:00,55.0,27.946,22.846,25.216833,31.606152,27.143993,29.350725,0,0,44370.332,39351.316,9.099999,9.099999,0.0,19.0,17.057314,31.319998,295.7885,19.23,3.728122
1980-02-11 17:00:00+00:00,61.0,28.396,22.846,25.348083,34.001225,26.813114,29.757431,0,0,44351.984,40571.613,5.6,5.6,0.0,12.0,14.003028,39.239998,290.7895,20.25,3.901793
1980-02-12 17:00:00+00:00,61.0,28.346,22.896,25.47725,33.927628,27.231464,29.968155,0,0,44333.598,41850.16,5.5999994,5.5999994,0.0,13.0,14.982228,36.719997,293.99094,20.92,3.9935257
1980-02-13 17:00:00+00:00,53.0,28.346,22.746,25.573082,33.905365,26.855677,30.212349,0,0,44315.01,41834.535,3.2,3.2,0.0,12.0,11.808878,33.48,294.09082,21.01,4.038368
1980-02-14 17:00:00+00:00,63.0,28.396,23.246,25.441832,35.317345,27.48608,30.393143,0,0,44296.18,39373.12,7.6,7.6,0.0,11.0,11.720751,33.12,283.02188,19.76,3.8328342
1980-02-15 17:00:00+00:00,63.0,27.846,22.896,25.102247,33.56921,27.076263,29.562017,0,0,44277.12,36780.035,14.900001,14.900001,0.0,17.0,16.179987,33.12,273.66287,18.5,3.533524
